"名称","住所","現場責任者（建設部）","路線","地名起点","地名終点","業者（名称）","規制原因","規制状況","方向区分","規制開始日時","規制終了日時","報告者（建設部）","路面状況_1","路面状況_2","曜日_1","曜日_2","時間_1","時間_2","車両_1","車両_2","迂回路の有無","迂回路（名称）","備考","経度","緯度","分類"
"一般県道 滝切目停車場線　みなべ町滝(終日全面通行止)","","日高建設部","一般県道 滝切目停車場線","みなべ町滝","みなべ町滝","","","終日全面通行止","上下","2020/4/17","2021/08/10 17:00","","","","","","終日","","","","有","","","135.342018430454","33.846639999446","通行止"
"一般県道 たかの金屋線　日高川町高津尾(終日全面通行止（迂回路有）)","","日高建設部","一般県道 たかの金屋線","日高川町高津尾","日高川町高津尾","(有)大幸","","終日全面通行止（迂回路有）","上下","2021/02/25 9:00","2021/08/02 17:00","","","","","","終日","","","","有","","","135.296899739971","33.9749647939911","通行止"
"一般県道 たかの金屋線　日高川町高津尾(終日全面通行止（迂回路有）)","","日高建設部","一般県道 たかの金屋線","日高川町高津尾","日高川町高津尾","(有)大幸","","終日全面通行止（迂回路有）","上下","2021/02/25 9:00","2021/08/02 17:00","","","","","","終日","","","","有","","","135.296777733054","33.9755597285398","通行止"
"一般国道 480号　高野町高野山(片側交互通行)","","伊都建設部","一般国道 480号","高野町高野山","高野町高野山","","","片側交互通行","上下","2020/04/30 9:00","2022/01/24 17:00","","","","","","終日","","","","無","","","135.567684923316","34.2174507840701","片側規制"
"一般国道 480号　高野町高野山(片側交互通行)","","伊都建設部","一般国道 480号","高野町高野山","高野町高野山","","","片側交互通行","上下","2020/04/30 9:00","2022/01/24 17:00","","","","","","終日","","","","無","","","135.572544614334","34.2129322967373","片側規制"
"一般国道 480号　高野町花坂(片側交互通行)","","伊都建設部","一般国道 480号","高野町花坂","高野町高野山","","","片側交互通行","上下","2021/04/13 9:00","2021/09/09 17:00","","","","","","終日","","","","無","","","135.536532199286","34.2149322788226","片側規制"
"一般国道 480号　高野町花坂(片側交互通行)","","伊都建設部","一般国道 480号","高野町花坂","高野町高野山","","","片側交互通行","上下","2021/04/13 9:00","2021/09/09 17:00","","","","","","終日","","","","無","","","135.537270159354","34.2141403530959","片側規制"
"一般県道 芳養清川線　みなべ町清川(通行止)","","日高建設部","一般県道 芳養清川線","みなべ町清川","みなべ町清川","株式会社南部建設","","通行止","上下","2021/04/26","2021/12/03 17:00","","","","","時間規制通行止","時間規制","時間規制通行止(9:00-12:00","","15:15-17:00)※4t超車両終日通行止","無","","","135.406469757243","33.8413000115466","通行止"
"一般県道 芳養清川線　みなべ町清川(通行止)","","日高建設部","一般県道 芳養清川線","みなべ町清川","みなべ町清川","株式会社南部建設","","通行止","上下","2021/04/26","2021/12/03 17:00","","","","","時間規制通行止","時間規制","時間規制通行止(9:00-12:00","","15:15-17:00)※4t超車両終日通行止","無","","","135.406817942961","33.8421244188772","通行止"
"一般国道 424号　有田川町西ケ峯(全面通行止)","","有田建設部","一般国道 424号","有田川町西ケ峯","有田川町西ケ峯","三洋建設株式会社","","全面通行止","上下","2020/08/17 8:15","2021/06/30 17:15","","","","日曜除く","","時間規制","8:15～17:15","緊急車両除く","","有","","","135.282157922919","34.0927196831812","通行止"
"一般国道 424号　有田川町西ケ峯(全面通行止)","","有田建設部","一般国道 424号","有田川町西ケ峯","有田川町西ケ峯","三洋建設株式会社","","全面通行止","上下","2020/08/17 8:15","2021/06/30 17:15","","","","日曜除く","","時間規制","8:15～17:15","緊急車両除く","","有","","","135.28201993231","34.0932695985678","通行止"
"一般国道 424号　有田川町小川(片側規制)","","有田建設部","一般国道 424号","有田川町小川","有田川町有原","","","片側規制","上下","2018/05/16 9:00","2021/08/31 17:00","","","","","","終日","","","","無","","","135.281320186106","34.0805135303144","片側規制"
"一般国道 424号　有田川町小川(片側規制)","","有田建設部","一般国道 424号","有田川町小川","有田川町有原","","","片側規制","上下","2018/05/16 9:00","2021/08/31 17:00","","","","","","終日","","","","無","","","135.281650129579","34.082068285757","片側規制"
